FL, B15, B30, B45, B60, B75, A90, A75, A60, A45, A30, A15, FR, vel-10, vel-9, vel-8, vel-7, vel-6, vel-5, vel-4, vel-3, vel-2, vel-1, steering_angle, throttle, brake
0.611892, 0.628570, 0.665805, 0.744953, 0.917470, 1.310634, 2.603565, 4.340749, 8.287659, 12.301737, 5.814495, 3.669383, 3.114814, 27.745706, 27.579183, 26.971283, 27.664925, 26.565021, 26.725807, 26.574518, 25.920150, 26.628964, 25.754816, 0.327206, 0.476173, -0.000000
0.702219, 0.689835, 0.727365, 0.826795, 1.041347, 1.549699, 2.802509, 4.678787, 8.773120, 12.849018, 5.197345, 3.543317, 3.000703, 27.579183, 26.971283, 27.664925, 26.565021, 26.725807, 26.574518, 25.920150, 26.628964, 25.754816, 26.024541, 0.327173, 0.511711, -0.000000
1.131856, 1.185574, 1.342987, 1.542781, 1.811174, 2.390399, 3.750510, 6.765182, 10.185312, 19.028803, 3.730415, 2.934383, 2.688678, 26.574518, 25.920150, 26.628964, 25.754816, 26.024541, 26.073351, 26.002391, 26.025287, 25.854452, 26.226336, 0.267544, 0.710933, -0.000000
1.243995, 1.317188, 1.420851, 1.551260, 1.848015, 2.496147, 3.987374, 7.076395, 10.463010, 21.175577, 3.625969, 2.839456, 2.631517, 25.920150, 26.628964, 25.754816, 26.024541, 26.073351, 26.002391, 26.025287, 25.854452, 26.226336, 26.543156, 0.247869, 0.734371, -0.000000
1.786703, 1.744233, 1.827180, 2.061291, 2.568219, 3.745820, 7.911883, 25.451027, 7.260806, 3.829745, 2.536476, 2.098793, 1.903960, 37.269169, 33.762128, 33.506773, 34.139009, 34.981176, 38.700778, 35.003791, 34.759821, 38.813812, 35.521085, 0.092633, 1.000000, -0.000000
1.733035, 1.699834, 1.789371, 2.030102, 2.549966, 3.775073, 8.360569, 25.409019, 7.016869, 3.906451, 2.627567, 2.131086, 1.943474, 33.762128, 33.506773, 34.139009, 34.981176, 38.700778, 35.003791, 34.759821, 38.813812, 35.521085, 35.330987, 0.083719, 1.000000, -0.000000
1.685342, 1.660217, 1.755607, 2.002399, 2.534606, 3.807210, 8.856053, 25.348392, 6.813060, 3.978844, 2.714180, 2.159907, 1.979273, 33.506773, 34.139009, 34.981176, 38.700778, 35.003791, 34.759821, 38.813812, 35.521085, 35.330987, 45.494106, 0.074302, 1.000000, -0.000000
1.634438, 1.615231, 1.713807, 1.962521, 2.498724, 3.795791, 9.192662, 25.172638, 6.721484, 4.002234, 2.820183, 2.256526, 2.022031, 34.139009, 34.981176, 38.700778, 35.003791, 34.759821, 38.813812, 35.521085, 35.330987, 45.494106, 35.893386, 0.068547, 1.000000, -0.000000
1.589618, 1.576248, 1.678431, 1.930235, 2.473174, 3.803640, 9.652987, 25.012735, 6.608927, 4.000563, 2.914441, 2.345399, 2.085094, 34.981176, 38.700778, 35.003791, 34.759821, 38.813812, 35.521085, 35.330987, 45.494106, 35.893386, 35.322828, 0.063186, 1.000000, -0.000000
1.544659, 1.536039, 1.640596, 1.893604, 2.439553, 3.792897, 10.054188, 24.780857, 6.540676, 4.012156, 3.015969, 2.438751, 2.175480, 38.700778, 35.003791, 34.759821, 38.813812, 35.521085, 35.330987, 45.494106, 35.893386, 35.322828, 37.034695, 0.057872, 1.000000, -0.000000
1.502877, 1.498560, 1.605247, 1.859360, 2.408277, 3.784932, 10.502753, 24.487278, 6.477030, 4.021756, 3.075836, 2.529610, 2.263819, 35.003791, 34.759821, 38.813812, 35.521085, 35.330987, 45.494106, 35.893386, 35.322828, 37.034695, 36.915303, 0.054533, 1.000000, -0.000000
1.463586, 1.463439, 1.572345, 1.827889, 2.380690, 3.784419, 13.339792, 14.464120, 6.408529, 4.026903, 3.097194, 2.618282, 2.350815, 34.759821, 38.813812, 35.521085, 35.330987, 45.494106, 35.893386, 35.322828, 37.034695, 36.915303, 38.560168, 0.051450, 1.000000, -0.000000
1.430093, 1.434007, 1.545455, 1.803399, 2.362495, 3.801406, 14.259498, 13.880026, 6.326402, 4.022198, 3.111037, 2.674467, 2.432196, 38.813812, 35.521085, 35.330987, 45.494106, 35.893386, 35.322828, 37.034695, 36.915303, 38.560168, 38.202958, 0.048716, 1.000000, -0.000000
1.399495, 1.407011, 1.520751, 1.780857, 2.345800, 3.818993, 14.618930, 13.343243, 6.254231, 4.018098, 3.123758, 2.694818, 2.512054, 35.521085, 35.330987, 45.494106, 35.893386, 35.322828, 37.034695, 36.915303, 38.560168, 38.202958, 40.368019, 0.046261, 1.000000, -0.000000
1.371852, 1.383154, 1.499626, 1.762943, 2.336355, 3.854120, 14.991263, 12.795348, 6.167658, 4.005918, 3.131271, 2.711356, 2.547799, 35.330987, 45.494106, 35.893386, 35.322828, 37.034695, 36.915303, 38.560168, 38.202958, 40.368019, 39.282227, 0.041516, 1.000000, -0.000000
1.351203, 1.366303, 1.486096, 1.754064, 2.339418, 3.913728, 15.455573, 12.253164, 6.066741, 3.982874, 3.130145, 2.720687, 2.564363, 45.494106, 35.893386, 35.322828, 37.034695, 36.915303, 38.560168, 38.202958, 40.368019, 39.282227, 39.866073, 0.034727, 1.000000, -0.000000
1.330719, 1.348623, 1.470569, 1.741206, 2.334019, 3.949451, 15.562840, 11.803245, 6.002799, 3.972783, 3.135173, 2.732944, 2.582020, 35.893386, 35.322828, 37.034695, 36.915303, 38.560168, 38.202958, 40.368019, 39.282227, 39.866073, 43.414996, 0.027740, 1.000000, -0.000000
1.306418, 1.326221, 1.448821, 1.719521, 2.313700, 3.949131, 15.430841, 11.430141, 5.978465, 3.979718, 3.150146, 2.751824, 2.604389, 35.322828, 37.034695, 36.915303, 38.560168, 38.202958, 40.368019, 39.282227, 39.866073, 43.414996, 40.606252, 0.021848, 1.000000, -0.000000
1.283917, 1.305140, 1.427960, 1.697990, 2.291857, 3.940181, 15.244302, 11.092676, 5.965783, 3.989728, 3.165653, 2.770160, 2.625457, 37.034695, 36.915303, 38.560168, 38.202958, 40.368019, 39.282227, 39.866073, 43.414996, 40.606252, 40.504984, 0.016133, 1.000000, -0.000000
1.261071, 1.283155, 1.405454, 1.673514, 2.263971, 3.912831, 14.985271, 10.798242, 5.972106, 4.007087, 3.184921, 2.790446, 2.647337, 36.915303, 38.560168, 38.202958, 40.368019, 39.282227, 39.866073, 43.414996, 40.606252, 40.504984, 45.291080, 0.010788, 1.000000, -0.000000
1.232666, 1.254638, 1.374662, 1.637630, 2.217019, 3.838084, 14.578755, 10.571903, 6.021857, 4.044579, 3.216479, 2.819196, 2.675459, 38.560168, 38.202958, 40.368019, 39.282227, 39.866073, 43.414996, 40.606252, 40.504984, 45.291080, 41.239144, 0.007176, 1.000000, -0.000000
1.205730, 1.227651, 1.345653, 1.603873, 2.173084, 3.769408, 14.182562, 20.178854, 6.065736, 4.078920, 3.245807, 2.846150, 2.702046, 38.202958, 40.368019, 39.282227, 39.866073, 43.414996, 40.606252, 40.504984, 45.291080, 41.239144, 41.056259, 0.004976, 1.000000, -0.000000
1.179213, 1.200996, 1.316865, 1.570209, 2.128918, 3.698661, 13.775069, 19.646719, 6.111738, 4.113752, 3.275233, 2.872947, 2.728305, 40.368019, 39.282227, 39.866073, 43.414996, 40.606252, 40.504984, 45.291080, 41.239144, 41.056259, 45.497339, 0.002808, 1.000000, -0.000000
1.147416, 1.168235, 1.280485, 1.526096, 2.067609, 3.585858, 13.242897, 19.059898, 6.198143, 4.167463, 3.316134, 2.907703, 2.760393, 39.282227, 39.866073, 43.414996, 40.606252, 40.504984, 45.291080, 41.239144, 41.056259, 45.497339, 41.816403, 0.003328, 1.000000, -0.000000
1.118675, 1.139129, 1.248767, 1.488611, 2.017498, 3.501581, 12.793679, 18.503321, 6.255879, 4.208309, 3.349437, 2.937404, 2.789014, 39.866073, 43.414996, 40.606252, 40.504984, 45.291080, 41.239144, 41.056259, 45.497339, 41.816403, 41.665940, 0.005460, 1.000000, -0.000000
1.092544, 1.112979, 1.220642, 1.455919, 1.974999, 3.435467, 12.387670, 17.960995, 6.294544, 4.240392, 3.377274, 2.963314, 2.814765, 43.414996, 40.606252, 40.504984, 45.291080, 41.239144, 41.056259, 45.497339, 41.816403, 41.665940, 44.522597, 0.006734, 1.000000, -0.000000
1.064917, 1.085019, 1.190189, 1.419915, 1.926927, 3.354857, 11.930209, 17.389822, 6.149522, 4.278986, 3.408999, 2.991765, 2.842245, 40.606252, 40.504984, 45.291080, 41.239144, 41.056259, 45.497339, 41.816403, 41.665940, 44.522597, 42.692931, 0.009901, 1.000000, -0.000000
1.042086, 1.062584, 1.166620, 1.393391, 1.894436, 3.312817, 11.568365, 16.849262, 5.978870, 4.298743, 3.429466, 3.012646, 2.864393, 40.504984, 45.291080, 41.239144, 41.056259, 45.497339, 41.816403, 41.665940, 44.522597, 42.692931, 42.902370, 0.013434, 1.000000, -0.000000
1.023532, 1.044857, 1.148659, 1.374239, 1.873529, 3.835480, 11.254486, 16.315176, 5.789340, 4.305243, 3.441453, 3.027535, 2.882007, 45.291080, 41.239144, 41.056259, 45.497339, 41.816403, 41.665940, 44.522597, 42.692931, 42.902370, 44.721320, 0.017210, 1.000000, -0.000000
1.009023, 1.031520, 1.135826, 1.361687, 1.862818, 4.290401, 10.972144, 15.780443, 5.585141, 4.301044, 3.446450, 3.037233, 2.895458, 41.239144, 41.056259, 45.497339, 41.816403, 41.665940, 44.522597, 42.692931, 42.902370, 44.721320, 44.437571, 0.018163, 1.000000, -0.000000
0.999780, 1.023901, 1.129724, 1.357923, 1.865756, 4.352099, 10.741055, 15.255930, 5.365643, 4.270490, 3.442298, 3.040176, 2.903530, 41.056259, 45.497339, 41.816403, 41.665940, 44.522597, 42.692931, 42.902370, 44.721320, 44.437571, 45.711563, 0.018980, 1.000000, -0.000000
0.994799, 1.020805, 1.128837, 1.360853, 2.102532, 4.442197, 10.436059, 14.726505, 5.135214, 4.101194, 3.431647, 3.038105, 2.907443, 45.497339, 41.816403, 41.665940, 44.522597, 42.692931, 42.902370, 44.721320, 44.437571, 45.711563, 47.542253, 0.018829, 1.000000, -0.000000
0.994876, 1.022998, 1.134333, 1.480705, 2.376226, 4.558763, 10.023691, 14.199127, 4.900861, 3.927828, 3.414877, 3.030758, 2.906452, 41.816403, 41.665940, 44.522597, 42.692931, 42.902370, 44.721320, 44.437571, 45.711563, 47.542253, 46.970142, 0.018863, 0.863279, -0.000000
